step,reward
0,2087.835346
1,2087.835014
2,2088.132318
3,2087.834758
4,2088.133732
5,2087.834759
6,2088.134317
7,2088.133652
8,2087.834843
9,2088.133647
10,2087.835426
11,2088.134236
12,2087.834755
13,2088.132398
14,2087.834753
15,2088.133729
16,2088.132311
17,2088.132901
18,2088.431792
19,2088.133645
20,2088.132394
21,2088.132897
22,2087.835342
23,2087.835341
24,2088.133644
25,2088.132314
26,2088.132312
27,2087.834838
28,2088.431286
29,2087.835339
30,2088.134231
31,2087.835338
32,2088.132898
33,2088.132982
34,2088.133648
35,2088.431203
36,2088.134232
37,2088.431207
38,2088.431288
39,2088.431204
40,2087.834752
41,2088.134233
42,2088.132895
43,2088.13423
44,2088.13298
45,2088.431789
46,2088.132309
47,2088.134315
48,2088.430951
49,2088.431873
50,2087.835423
51,2088.431788
52,2088.132645
53,2088.431202
54,2088.132896
55,2088.431537
56,2087.835337
57,2088.13398
58,2088.431622
59,2088.431201
60,2088.133643
61,2088.431539
